2017-02-11 22:42:04,730 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-02-11 22:42:07,486 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:42:07,491 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:42:07,492 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:42:07,497 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:42:20,255 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-02-11 22:42:20,673 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
2017-02-11 22:42:21,337 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/main/java
2017-02-11 22:42:21,338 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/main/resources
2017-02-11 22:42:21,339 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/test/java
2017-02-11 22:42:21,339 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/test/resources
2017-02-11 22:42:21,569 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-02-11 22:42:22,173 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:42:22,180 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:42:22,182 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:42:22,189 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:42:31,495 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Selenium Practice\selenium.class.test1
2017-02-11 22:42:31,496 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-02-11 22:44:43,951 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-02-11 22:44:46,437 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
2017-02-11 22:44:49,485 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/main/java
2017-02-11 22:44:49,485 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/main/resources
2017-02-11 22:44:49,486 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/test/java
2017-02-11 22:44:49,486 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/test/resources
2017-02-11 22:44:49,934 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2017-02-11 22:44:50,753 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:44:50,759 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:44:50,762 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:44:50,768 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:46:16,990 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:46:17,003 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:46:17,005 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
